Albert King-Born Under A Bad Sign-01-Born Under A Bad Sign,Blues,0.4468187935,0.866439456,0.4907279518,0.7411104915,0.5555219716,0.7548191837,0.6108007395,0.0714904863,0.333266914,0.1527224436,0.1753050516,0.1939556492,0.3549345772,0.3824050606,0.2465648044,0.3422131197,0.2519270427,0.2437028394,0.2481571218,0.2875181936,0.3495788206,0.3696426348,0.3335363687,0.3105700713,0.3876421712,0.2329911167,0.4139093262,0.4769379582,0.4885697765,0.3628621427,-1,0.2504290519,0.3249060652,0.1771685318,0.1637898462,0.1660106004,0.0416442082,0.0020964635,0.002674566,0.3656851209,0.0017326731,0.1400329433,0.0416166296,0.1400329433,0.0249984747,0.0018258807,0.4063523248,0.429181115,0.1834998655,0.3949373656,0.8481548786,0.0478677536,0.2495172977,0.2638870633,0.765817675,0.2396406912,0.1357519045,-1,0.2291537136,0.2053140097,0.0579520761,0.9961959335,0.0038058314,0.1890034364,0.0026301708,0.1553864994,0.0028105876,0.1272108878,0.1272108878
Albert King-Born Under A Bad Sign-02-Change of Pace,Blues,0.5257445718,0.7098521056,0.2928523387,0.4361418383,0.6002224463,0.6720461044,0.6245974037,0.0518007907,0.2975744756,0.1181938911,0.15251825,0.2303135575,0.3335775655,0.3550507288,0.2695175466,0.2668913874,0.3112361341,0.3769283479,0.3388263169,0.3618843296,0.4389054569,0.4281744217,0.4019400836,0.1781472684,0.344139481,0.2077770095,0.3398565379,0.5184905275,0.5387441354,0.280125473,-1,0.2042907678,0.186399462,0.3476099347,0.2834325168,0.1151783777,0.0455687751,0.0024675412,0.0044103612,0.2937069002,0.0017613474,0.1562720669,0.0455431578,0.1562720669,-1,-1,0.3681354656,0.3582904161,0.1606240304,0.3226660618,1,0.0445870509,0.4625604587,0.1284118028,0.680153803,0.2642543581,-1,0.2453322888,0.4684475811,0.139789893,0.062530896,0.9956115084,0.0043947834,0.1939126166,0.0043980424,0.2148251481,0.0032928304,0.1346938776,0.1346938776
Albert King-Born Under A Bad Sign-03-Get Out Of My Life Woman,Blues,0.5074018906,0.8123543831,-1,0.7452321612,0.5138329878,0.6762464939,0.5387535051,0.0447072842,0.4581773315,0.1367861886,0.1623527574,0.2350957219,0.4993093523,0.4805473046,0.1661057394,0.235679389,0.3851533761,0.3839163904,0.2034928888,0.300001311,0.3635876105,0.364558582,0.3380283363,-1,0.3077027855,-1,0.4012460838,0.3940889469,0.3532378418,0.382763357,0.1551669651,0.3283345505,0.4564922217,0.1716000333,0.1507860989,0.2156030127,0.0493514165,0.0028700662,0.003269181,0.4788410955,0.002962084,0.1548599615,0.049365257,0.1548599615,0.0342499912,0.0027873771,0.3880157171,0.3908851881,0.1502690181,0.3570769201,0.8910474368,0.0331144533,0.1716536742,0.4180693339,0.6980933144,0.2185541374,0.1432687814,-1,0.1459404843,-1,0.0667758671,0.9950379059,0.0049717159,0.2114454001,0.0032106659,0.1116292161,0.0037623827,0.1653061224,0.1653061224
Albert King-Born Under A Bad Sign-04-Gonna Make It Somehow,Blues,0.3983903589,0.7944732896,0.3239615418,0.5016516317,0.5586533375,0.7200816426,0.5824755187,0.0331515979,0.3140869433,0.0942895086,0.114700712,0.3056913679,0.3307512435,0.3173854154,0.1733629312,0.2380546016,0.314476593,0.4019575162,0.4015152137,0.3273592698,0.349249202,0.3788330379,0.3270940781,0.3060570071,0.2848589185,0.1966381192,0.459300477,0.494598332,0.5448108371,0.5426563885,-1,0.3429649124,0.3152416181,0.4082248201,0.2883198495,0.1658556241,0.0526730353,0.0032348545,0.0050109824,0.370058764,0.0027147681,0.1933003703,0.0526902744,0.1933003703,0.0293878176,0.0025571774,0.3646484479,0.3611629768,0.116327324,0.4394974382,0.8478816774,0.0243746788,-1,0.1135692475,0.6558116931,0.1228805603,0.2057166812,0.240697219,0.3527553786,0.2962196153,0.0701847565,0.994550885,0.0054645124,0.1968581247,0.0050313098,0.1319812495,0.0041938632,0.149744898,0.149744898
Albert King-Born Under A Bad Sign-05-Goodtime Charlie,Blues,0.3916572868,0.8103314835,0.4638431476,0.627221863,0.5613863619,0.6475086995,0.5362630282,0.0807172806,0.4726492155,0.1633466135,0.1879633072,0.3449140642,0.54458338,0.3751120804,0.0988503434,0.1972824914,0.3057719902,0.3742672313,0.2264230887,0.253131118,0.2327269977,0.289783898,0.2305530858,0.4263657957,0.2642000953,0.1597425396,0.5368962678,0.3575845134,0.3403672528,0.4053245763,0.1671165596,0.3785785957,0.503070188,0.3264104743,0.2956303595,-1,0.0572451956,0.0037443003,0.0048908581,0.4533944443,0.0037112003,0.2438220708,0.0572559077,0.2438220708,0.0462018011,0.0043615871,0.327737095,0.342491331,0.1075835868,0.6863061073,0.4992043344,0.0213505431,0.1686777645,0.3813997649,0.5613412905,0.3190387983,0.1393151933,0.3248335292,0.2563491649,-1,0.0754765071,0.9937391834,0.0062818335,0.1800776534,0.0049785375,0.0950957607,0.0048283932,0.1807050102,0.1807050102
Albert King-Born Under A Bad Sign-06-Guitar Man,Blues,0.5553239877,0.706281004,-1,0.5506617424,0.604276612,0.6690167381,0.6814988155,0.0680264248,0.438818623,0.1420982736,0.1785799347,0.2735234689,0.4074236895,0.372633322,0.2164983886,0.2976279368,0.38773826,0.465763971,0.3609217832,0.3677668069,0.5499502955,0.5442425177,0.4372665839,-1,0.3655928625,0.1203255493,0.3870990662,0.5427334992,0.5338678246,0.4107503311,0.1551230736,0.274294928,0.2354873494,0.4195927112,0.3192010174,0.1660243623,0.0618328644,0.0043480878,0.0072032496,0.3720317202,0.0037112003,0.1405820965,0.0617923008,0.1405820965,0.0356205863,0.0036303591,0.3136869679,0.3311549747,0.168190029,0.3891600788,0.848045598,0.0478979966,-1,0.1529108483,0.6872093153,0.101786394,-1,0.3600992297,0.4100641758,0.1594046049,0.0810479328,0.9928300776,0.0071953099,0.1988217968,0.0071949735,0.202432917,0.0055771387,0.1408163265,0.1408163265
Albert King-Born Under A Bad Sign-07-I Got The Blues,Blues,0.3984486388,0.8338020313,0.4964613177,0.6683704935,0.4756041228,0.7938514806,0.5145471009,0.0491390164,0.3673725141,0.1580345286,0.1753267026,0.2787523855,0.4014857051,0.4165280733,0.1589247519,0.4087759597,0.2709290667,0.2939290277,0.2470158234,0.3042197955,0.3334930484,0.4428159454,0.3810599326,-1,0.4777974528,0.1752220864,0.4753388419,0.4227162199,0.4580117694,0.3153096117,0.1940113768,0.1693356174,0.249045962,0.2028367498,0.1737755221,0.2280011158,0.0687882282,0.0053418214,0.0060921005,0.3652014137,0.0043563722,0.1628618462,0.0689561261,0.1628618462,0.0493784867,0.0054769714,0.4231551382,0.4454278714,0.1865695931,0.3484638181,0.7417157646,0.0486924104,0.278970465,0.2311284192,0.7533164161,0.2611839935,0.0906506435,-1,0.2324793424,0.2893144703,0.0885876475,0.991498887,0.0085174469,0.1715485714,0.0061131417,0.1558888685,0.0067319835,0.1281827041,0.1281827041
Albert King-Born Under A Bad Sign-08-Watermelon Blues,Blues,0.464035089,0.7404467303,0.5248369909,0.5544220611,0.5197642023,0.7079003107,0.7093890807,0.086604032,0.1598526264,0.1912350598,0.213572665,0.2987525854,0.3049766858,0.3593290212,0.1768632498,0.2798179997,0.2237729628,0.3126624318,0.3385383672,0.4373942803,0.4275519279,0.388023441,0.3603834902,-1,0.3102283934,0.1723096974,0.2857499566,0.3587879964,0.3503464771,0.2108426335,0.1982250079,0.2118338115,0.2827357573,0.2592589628,0.1945234926,0.2552769426,0.074282943,0.006140582,0.0079840571,0.2498002172,0.0038187289,0.1388924095,0.0742316151,0.1388924095,-1,-1,0.4003929273,0.3771672446,0.2706052144,0.334083714,0.9121385551,0.0935385541,0.2998065635,0.1320271778,0.7252650691,0.2961404756,0.0889159796,-1,0.2624863046,0.3933747412,0.0939508979,0.9904815544,0.0095390982,0.1890034364,0.0080393301,0.2381472954,0.0076330162,0.1094191531,0.1094191531
Albert King-Born Under A Bad Sign-09-Don't Burn Down The Bridge,Blues,0.5454732871,0.8584929436,0.3504101076,0.6208766297,0.60749388,0.6940724359,0.6726675517,0.0823951783,0.1684494214,0.2257636122,0.2323856485,0.3080504541,0.3045335067,0.3371010984,0.1818368518,0.3139638722,0.3123108766,0.3312359946,0.2867135887,0.475040321,0.4123162245,0.4344317174,0.3747110086,-1,0.3657631274,0.2106495027,0.3292798525,0.382798724,0.4552588448,0.2537044,0.1721092739,0.2113366563,0.2703064554,0.2958771893,0.2467893229,0.3682236618,0.0780256385,0.0067695273,0.0090651752,0.3575813574,0.0056108731,0.1732172137,0.0780118557,0.1732172137,0.038814957,0.0048772835,0.3336607728,0.3380457002,0.2297643765,0.297571523,0.7508406785,0.0708576559,0.3597873815,0.0749525806,0.7093062046,0.3050927453,0.1461887989,0.0638464552,0.2722369089,0.3528295376,0.097803748,0.9897239663,0.0102963222,0.1613335101,0.0090683897,0.2157266161,0.0083056181,0.1324675306,0.1324675306
Albert King-Born Under A Bad Sign-10-Stormy Monday,Blues,0.4262844534,0.8272992533,-1,0.7499587613,0.5308851785,0.7588885806,0.5904944779,-1,0.2131288751,0.1142098274,0.1396113767,0.3063279875,0.3892576552,0.4999184615,0.2136673979,0.3187691562,0.2233707169,0.2897383188,0.2289323647,0.3808752909,0.3444972008,0.3701803711,0.2999644317,-1,0.3879462303,0.143624661,0.4586685236,0.4453049549,0.4335267608,0.2828762071,0.2791234331,0.1737152495,0.2242264621,0.2354495153,0.2102960764,0.206195952,0.0834031786,0.0076500508,0.0091552684,-1,0.0068295312,0.205381662,0.0833949687,0.205381662,-1,-1,0.4199644506,0.4352340117,-1,0.298931925,0.7940688838,-1,-1,-1,0.8081427452,-1,-1,0.3198851025,-1,0.3190821256,0.1031047286,0.9886525202,0.0114021095,0.1866932351,0.0093586373,-1,0.0093081757,0.1657596327,0.1657596327
